message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"A verified business sent an order update, but it is not urgent enough to interrupt.",0.5839,message_0243;message_0263;message_0407
msg_091,mute,scam,"The message asks for urgent OTP or account verification through a suspicious flow, so it is muted regardless of the sender.",0.9700,message_0238
msg_090,mute,unknown,"An unfamiliar sender sent a message with no clear purpose, so it is held back.",0.5243,message_0214;message_0173
msg_048,digest,forward,"A trusted group admin sent a forwarded chain message, but it is not urgent enough to interrupt.",0.8798,message_0152;message_0151
msg_040,digest,greeting,"A trusted family member sent a routine greeting, but it is not urgent enough to interrupt.",0.5915,message_0241
msg_075,notify,business_update,"A verified business sent an order update, so it should reach the user now.",0.8984,message_0206;message_0205
msg_005,digest,event,"An unfamiliar sender sent a scheduled update, but it is not urgent enough to interrupt.",0.6382,message_0224
msg_104,digest,event,"An unfamiliar sender sent a scheduled update, but it is not urgent enough to interrupt.",0.7157,message_0115
msg_069,digest,greeting,"A trusted family member sent a routine greeting, but it is not urgent enough to interrupt.",0.8142,message_0194;message_0136;message_0078
msg_107,mute,forward,"An unfamiliar sender sent a forwarded chain message, which the user usually ignores, so it is held back.",0.9700,message_0235
msg_070,mute,personal,"The message asks for urgent OTP or account verification through a suspicious flow, so it is muted regardless of the sender.",0.9700,message_0369
msg_003,digest,business_update,"A verified business sent an order update, but it is not urgent enough to interrupt.",0.6353,message_0297;message_0004;message_0239
msg_099,digest,personal,"An unfamiliar sender sent a personal message, but it is not urgent enough to interrupt.",0.6921,message_0371
msg_008,digest,business_update,"A verified business sent an order update, but it is not urgent enough to interrupt.",0.7297,message_0072;message_0071;message_0296
msg_092,digest,payment,"A verified business sent a payment reminder, but it is not urgent enough to interrupt.",0.5256,message_0102
msg_060,notify,promotion,"A trusted group admin sent a promotional offer, so it should reach the user now.",0.6405,message_0176;message_0404;message_0284
msg_004,notify,event,"A verified business sent a scheduled update, so it should reach the user now.",0.8752,message_0005;message_0245;message_0047
msg_030,mute,forward,"An unfamiliar sender sent a forwarded chain message, which the user usually ignores, so it is held back.",0.7187,message_0115;message_0390;message_0113
msg_045,digest,personal,"A society contact sent a personal message, but it is not urgent enough to interrupt.",0.5942,message_0146;message_0145
msg_052,mute,promotion,"An unfamiliar sender sent a promotional offer, the user never opted into, so it is held back.",0.8613,message_0208
msg_009,notify,personal,"A close contact sent a personal message the user usually opens, so it should reach the user now.",0.6411,message_0313;message_0292;message_0074
msg_071,notify,personal,"A trusted family member sent a personal message, so it should reach the user now.",0.9700,message_0035;message_0148;message_0147
msg_016,mute,scam,"The message asks for urgent OTP or account verification through a suspicious flow, so it is muted regardless of the sender.",0.9700,message_0214;message_0173;message_0024
msg_065,mute,promotion,"A verified business sent a promotional offer, the user never opted into, so it is held back.",0.7494,message_0351;message_0261;message_0186
msg_038,digest,forward,"A college contact sent a forwarded chain message, but it is not urgent enough to interrupt.",0.6877,message_0131;message_0132;message_0247
msg_086,mute,spam,"A verified business sent bulk promotional content as a voice note, the user never opted into, so it is held back.",0.5252,message_0272;message_0109
msg_014,digest,promotion,"A verified business sent a promotional offer, but it is not urgent enough to interrupt.",0.7355,message_0018;message_0258;message_0317
msg_094,mute,promotion,"A verified business sent a promotional offer, the user never opted into, so it is held back.",0.7723,message_0257
